id,tsevent_id,year,month,day,timestamp,doubtful,country,state,location_name,latitude,longitude,region_code,distance_from_source,arr_day,arr_hour,arr_min,travel_time_hours,travel_time_minutes,water_ht,horizontal_inundation,type_measurement_id,period,first_motion,deaths,deaths_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_damaged,houses_damaged_description,houses_destroyed,houses_destroyed_description
19372,3562,1008,4,11,1008-04-11T00:00:00,,IRAN,,SIRAF,27.66666,52.3425,30,1,,,,,,,,1,,,,3,,,,1,,,,
16152,3644,1879,7,11,1879-07-11T18:00:00,,EGYPT,,TOR,28.237,33.614,30,104,,,,,,,,1,,,,,,,,,,,,
16153,3645,1884,7,20,1884-07-20T09:30:00,,ERITREA,,MASSSAWA,15.61,39.45,30,19,,,,,,,,1,,,,,,,,,,,,
16154,3646,1969,3,31,1969-03-31T00:00:00,,EGYPT,,SHADWAN ISLAND,27.5,34.0,30,22,,,,,,,,1,,,,,,,,,,,,
33467,2256,1995,11,22,1995-11-22T04:15:11,,EGYPT,,NUWEIBA HARBOR,28.975,34.66,30,21,,,,,,4.0,,1,,,,,,,,1,,,,
33466,2256,1995,11,22,1995-11-22T04:15:11,,EGYPT,,TABA,29.49,34.89,30,74,,,,,,,,1,,,,,,,,,,,,
33465,2256,1995,11,22,1995-11-22T04:15:11,,ISRAEL,,ARDAG,29.54,34.93,30,80,,,,,,1.0,,1,,,,,,,,,,,,
33470,2256,1995,11,22,1995-11-22T04:15:11,,ISRAEL,,ELAT NAVY PORT,29.544,34.95,30,81,,,,,,0.25,,2,,,,,,,,,,,,
6354,2256,1995,11,22,1995-11-22T04:15:11,,JORDAN,,AQABA PORT,29.52,35.0,30,80,,,,,,,,1,,,,,,,,1,,,,
33469,2256,1995,11,22,1995-11-22T04:15:11,,EGYPT,,WESTERN SHORELINES OF GULF ELAT,29.27,34.72,30,50,,,,,,,,1,,,,,,,,1,,,,1
33468,2256,1995,11,22,1995-11-22T04:15:11,,EGYPT,,B/W NUWEIBA AND DAHAB,28.75,34.62,30,19,,,,,,,50.0,1,,,,,,,,,,,,
32844,5643,2017,3,19,2017-03-19T04:30:00,M,IRAN,,BANAK PARK,27.84243,52.01888,30,8,,,,,,0.9,10.0,5,,,,,,,,,,,,
32843,5643,2017,3,19,2017-03-19T04:30:00,M,IRAN,,BARDESTAN ESTUARY,27.84687,51.98526,30,5,,,,,,1.0,140.0,5,,,,,,,,,,,,
32842,5643,2017,3,19,2017-03-19T04:30:00,M,IRAN,,DAYYER (COAST),27.83504,51.94269,30,0,,,,,,2.5,190.0,5,,,,,,,,1,,,,
